№,"item_name","ingredient_name","dosage_and_unit","pharmaceutical_form","packaging","packaging_qty","company","wholesale_price","sale_price","submitted_at"
1639,DEKAPEPTİL DEPO,TRIPTORELIN,"3,75 mq",İnyeksiya üçün məhlul,Şpris,1,"FERRİNQ İNTERNEYŞNL SENTER SA, İsveçrə",204.04,233.85,29.11.2016
1640,DEKARİS,LEVAMISOLE HCL,50 mq,Tablet,Blister,2,"GEDEON RİXTER PLC, Macarıstan",1.30,1.56,24.05.2017
1641,DEKARİS,LEVAMISOLE HCL,150 mq,Tablet,Blister,1,"GEDEON RİXTER PLC, Macarıstan",1.49,1.79,24.05.2017
1642,DEKASAN,DECAMETHOXIN,"0,2 mq/ml",Məhlul,Flakon 200 ml,1,"YURİYA-FARM MMC, Ukrayna",6.21,7.45,29.11.2016
1643,DEKASAN,DECAMETHOXIN,"0,2 mq/ml",Məhlul,Flakon 400 ml,1,"YURİYA-FARM MMC, Ukrayna",6.27,7.52,29.11.2016
1644,DEKASAN,DECAMETHOXIN,"0,2 mq/ml",Məhlul,Konteyner 1000 ml,1,"YURİYA-FARM MMC, Ukrayna",13.47,16.16,29.11.2016
1645,DEKLAREN,DESLORATADINE,5 mq,Tablet,Blister,20,"İLKO İLAÇ SAN VE TİC AŞ, Türkiyə",4.56,5.47,29.11.2016
1646,DEKLAREN,DESLORATADINE,"0,5 mq/ml",Şərbət,Flakon 150 ml,1,"İLKO İLAÇ SAN VE TİC AŞ, Türkiyə",6.30,7.56,29.11.2016
1647,DEKLOSİD,CLOTRIMAZOLE + GENTAMICIN SULFATE + CLIOQUINOL + BECLOMETASONE DIPROPIONATE,"(10 + 1 + 20 + 0,25)
mq/q",Krem,Tub 30 q,1,"LABORATORİOS BASİ-İNDUSTRİYA FARMASYUTİKA SA, Portuqaliya",9.25,11.10,24.05.2017
1648,DEKOFEN,IBUPROFEN,20 mq/ml,Şərbət,Flakon 100 ml,1,"MUNİR ŞAHİN İLAÇ SAN VE TİC AŞ, Türkiyə",3.37,4.04,29.11.2016
1649,DEKOMB,NYSTATIN + NEOMYCIN + TRIAMCINOLONE ACETONIDE + GRAMICIDIN,"100000 IU + (2,5 + 1 +
0,25) mq/q",Krem,Tub 15 q,1,"FARMAKEYA İNT KO, Fələstin",8.47,10.16,29.11.2016
1650,DEKOMİT 100HFA,BECLOMETASONE DIPROPIONATE (ANHYDROUS),100 mkq/doza,Aerozol,Flakon 200 doza,1,"BEKSİMKO FARMASYUTİKALS LTD, Banqladeş",12.08,14.50,29.11.2016
1651,DEKOMİT 50HFA,BECLOMETASONE DIPROPIONATE (ANHYDROUS),50 mkq/doza,Aerozol,Flakon 200 doza,1,"BEKSİMKO FARMASYUTİKALS LTD, Banqladeş",9.99,11.99,29.11.2016
1652,DEKSALENT,DEXAMETHASONE,4 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,3,"LABORATORİO FARMAKOLOCİKO MİLANESE SRL, İtaliya",1.86,2.23,29.11.2016
1653,DEKSALGİN,DEXKETOPROFEN,25 mq,Tablet,Blister,10,"LABORATORİOS MENARİNİ SA, İspaniya",5.11,6.13,29.11.2016
1654,DEKSALGİN,DEXKETOPROFEN,25 mq,Tablet,Blister,10,"A MENARİNİ MANUFAKTURİNQ LOGİSTİKS END SERVİSES SRL, İtaliya",5.11,6.13,29.11.2016
1655,DEKSALGİN,DEXKETOPROFEN,25 mq,Tablet,Blister,30,"LABORATORİOS MENARİNİ SA, İspaniya",9.27,11.12,29.11.2016
1656,DEKSALGİN,DEXKETOPROFEN,25 mq,Tablet,Blister,30,"A MENARİNİ MANUFAKTURİNQ LOGİSTİKS END SERVİSES SRL, İtaliya",9.27,11.12,29.11.2016
1657,DEKSALGİN,DEXKETOPROFEN,25 mq,Tablet,Blister,50,"LABORATORİOS MENARİNİ SA, İspaniya",15.31,18.37,29.11.2016
1658,DEKSALGİN,DEXKETOPROFEN,25 mq,Tablet,Blister,50,"A MENARİNİ MANUFAKTURİNQ LOGİSTİKS END SERVİSES SRL, İtaliya",15.31,18.37,29.11.2016
1659,DEKSALGİN,DEXKETOPROFEN,25 mq,Məhlul hazırlamaq üçün qranul,Paket,10,"LABORATORİOS MENARİNİ SA, İspaniya",4.22,5.06,29.11.2016
1660,DEKSALGİN,DEXKETOPROFEN,25 mq,Məhlul hazırlamaq üçün qranul,Paket,20,"LABORATORİOS MENARİNİ SA, İspaniya",8.40,10.08,29.11.2016
1661,DEKSALGİN,DEXKETOPROFEN,25 mq,Məhlul hazırlamaq üçün qranul,Paket,30,"LABORATORİOS MENARİNİ SA, İspaniya",12.49,14.99,29.11.2016
1662,DEKSALGİN İNJEKT,DEXKETOPROFEN,25 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,1,"A MENARİNİ MANUFAKTURİNQ LOGİSTİKS END SERVİSES SRL / ALFA VASSERMAN SPA, İtaliya",2.50,3.00,29.11.2016
1663,DEKSALGİN İNJEKT,DEXKETOPROFEN,25 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,5,"A MENARİNİ MANUFAKTURİNQ LOGİSTİKS END SERVİSES SRL / ALFA VASSERMAN SPA, İtaliya",8.76,10.51,29.11.2016
1664,DEKSALGİN İNJEKT,DEXKETOPROFEN,25 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,6,"A MENARİNİ MANUFAKTURİNQ LOGİSTİKS END SERVİSES SRL / ALFA VASSERMAN SPA, İtaliya",9.81,11.77,29.11.2016
1665,DEKSALGİN İNJEKT,DEXKETOPROFEN,25 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,10,"A MENARİNİ MANUFAKTURİNQ LOGİSTİKS END SERVİSES SRL / ALFA VASSERMAN SPA, İtaliya",16.23,19.48,29.11.2016
1666,DEKSALGİN İNJEKT,DEXKETOPROFEN,25 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,20,"A MENARİNİ MANUFAKTURİNQ LOGİSTİKS END SERVİSES SRL / ALFA VASSERMAN SPA, İtaliya",32.10,38.52,29.11.2016
1667,DEKSALGİN İNJEKT,DEXKETOPROFEN,25 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,50,"A MENARİNİ MANUFAKTURİNQ LOGİSTİKS END SERVİSES SRL / ALFA VASSERMAN SPA, İtaliya",78.01,92.90,29.11.2016
1668,DEKSALGİN İNJEKT,DEXKETOPROFEN,25 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,100,"A MENARİNİ MANUFAKTURİNQ LOGİSTİKS END SERVİSES SRL / ALFA VASSERMAN SPA, İtaliya",150.57,174.50,29.11.2016
1669,DEKSAMETAZON,DEXAMETHASONE,"0,5 mq",Tablet,Blister,50,"GNCLS EKSPERİMENTAL MÜƏSSİSƏ MMC, Ukrayna",1.05,1.26,29.11.2016
1670,DEKSAMETAZON,DEXAMETHASONE SODIUM PHOSPHATE,1 mq/ml,Damcı,Flakon 5 ml,1,"BELMEDPREPARATI RUM, Belarus",1.69,2.03,29.11.2016
1671,DEKSAMETAZON,DEXAMETHASONE PHOSPHATE,4 mq/ml,İnyeksiya üçün məhlul,Ampul 1 ml,5,"FARMAK İSC, Ukrayna",0.90,1.08,29.11.2016
1672,DEKSAMETAZON,DEXAMETHASONE PHOSPHATE,4 mq/ml,İnyeksiya üçün məhlul,Ampul 1 ml,10,"FARMAK İSC, Ukrayna",1.76,2.11,29.11.2016
1673,DEKSAMETAZON,DEXAMETHASONE,4 mq/ml,İnyeksiya üçün məhlul,Ampul 1 ml,25,"KRKA DD, Sloveniya",7.76,9.31,29.11.2016
1674,DEKSAMETAZON,DEXAMETHASONE,4 mq/ml,İnyeksiya üçün məhlul,Ampul 1 ml,25,"REYANQ FARMASYUTİKAL KO LTD, Çin",5.92,7.10,29.11.2016
1675,"DEKSAMETAZON 0,1%",DEXAMETHASONE,1 mq/ml,Damcı,Flakon 5 ml,1,"VARŞAVA ƏCZAÇILIQ MÜƏSSİSƏSİ POLFA SC, Polşa",1.89,2.27,29.11.2016
1676,DEKSAMETAZON-DARNİTSA,DEXAMETHASONE,"0,5 mq",Tablet,Blister,50,"DARNİTSA ƏCZAÇILIQ ŞİRKƏTİ ÖSC, Ukrayna",1.05,1.26,29.11.2016
1677,DEKSAM-RF,DEXAMETHASONE,1 mq/ml,Suspenziya,Flakon 10 ml,1,"ROMFARM KOMPANİ SRL, Rumıniya",3.79,4.55,06.10.2018
1678,DEKSAT,DEXAMETHASONE SODIUM PHOSPHATE,1 mq/ml,Damcı,Flakon 5 ml,1,"BEMA FARMA GMBH, Almaniya",3.82,4.58,29.11.2016
1679,DEKSAT,DEXAMETHASONE SODIUM PHOSPHATE,1 mq/ml,Damcı,Flakon 5 ml,1,"KUPER SA, Yunanıstan",1.89,2.27,29.11.2016
1680,DEKSAXLOR,DEXAMETHASONE SODIUM PHOSPHATE + CHLORAMPHENICOL,(1 + 5) mq/ml,Damcı,Flakon 10 ml,1,"KOOPER SA FARMASYUTİKALS, Yunanıstan",8.19,9.83,29.11.2016
1681,DEKSDOR,DEXMEDETOMIDINE,"0,1 mq/ml",İnfuziya məhlulu üçün konsentrat,Ampul 2 ml,5,"ORİON KORPOREYŞN, Finlandiya",195.49,224.36,29.11.2016
1682,DEKSDOR,DEXMEDETOMIDINE,"0,1 mq/ml",İnfuziya məhlulu üçün konsentrat,Ampul 2 ml,25,"ORİON KORPOREYŞN, Finlandiya",790.23,884.52,29.11.2016
1683,DEKSDOR,DEXMEDETOMIDINE,"0,1 mq/ml",İnfuziya məhlulu üçün konsentrat,Flakon 4 ml,4,"ORİON KORPOREYŞN, Finlandiya",322.96,365.86,29.11.2016
1684,DEKSDOR,DEXMEDETOMIDINE,"0,1 mq/ml",İnfuziya məhlulu üçün konsentrat,Flakon 10 ml,4,"ORİON KORPOREYŞN, Finlandiya",780.76,874.01,29.11.2016
1685,DEKSOL,SODIUM CHLORIDE + DEXTROSE MONOHYDRATE,(9 + 55) mq/ml,İnfuziya üçün məhlul,Flakon 250 ml,1,"DEMO SA FARMASYUTİKAL İND, Yunanıstan",2.53,3.04,29.11.2016
1686,DEKSPANTENOL,DEXPANTHENOL,50 mq/q,Məlhəm,Tub 30 q,1,"HEMOFARM AD, Serbiya",4.00,4.80,15.07.2017
1687,DEKSTRAFAR,DEXTRAN 40,100 mq/ml,İnfuziya üçün məhlul,Flakon 200 ml,1,"KURSK BİOFABRİKİ FDM, Rusiya",1.77,2.12,29.11.2016
1688,DEKSTRAFAR,DEXTRAN 40,100 mq/ml,İnfuziya üçün məhlul,Flakon 200 ml,15,"KURSK BİOFABRİKİ FDM, Rusiya",25.83,31.00,29.11.2016
1689,DEKSTRAFAR,DEXTRAN 40,100 mq/ml,İnfuziya üçün məhlul,Flakon 200 ml,20,"KURSK BİOFABRİKİ FDM, Rusiya",34.15,40.98,29.11.2016
1690,DEKSTRAFAR,DEXTRAN 40,100 mq/ml,İnfuziya üçün məhlul,Flakon 400 ml,1,"KURSK BİOFABRİKİ FDM, Rusiya",3.08,3.70,29.11.2016
1691,DEKSTRAFAR,DEXTRAN 40,100 mq/ml,İnfuziya üçün məhlul,Flakon 400 ml,15,"KURSK BİOFABRİKİ FDM, Rusiya",44.47,53.36,29.11.2016
1692,DEKSTRAFAR,DEXTRAN 40,100 mq/ml,İnfuziya üçün məhlul,Flakon 400 ml,20,"KURSK BİOFABRİKİ FDM, Rusiya",58.91,70.69,29.11.2016
1693,DELBAK,AMPICILLIN SODIUM + SULBACTAM SODIUM,(500 + 250) mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici 2 ml,1,"REYANQ FARMASYUTİKAL KO LTD, Çin",1.66,1.99,29.11.2016
1694,DELBAK,AMPICILLIN SODIUM + SULBACTAM SODIUM,(500 + 250) mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici 2 ml,10,"REYANQ FARMASYUTİKAL KO LTD, Çin",16.23,19.48,29.11.2016
1695,DELBAK,AMPICILLIN SODIUM + SULBACTAM SODIUM,(500 + 250) mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici 2 ml,50,"REYANQ FARMASYUTİKAL KO LTD, Çin",78.03,92.92,29.11.2016
1696,DELBAK,AMPICILLIN SODIUM + SULBACTAM SODIUM,(1000 + 500) mq,İnyeksiya məhlulu üçün toz,"Flakon + Ampulda həlledici 3,5 ml",1,"REYANQ FARMASYUTİKAL KO LTD, Çin",1.76,2.11,29.11.2016
1697,DELBAK,AMPICILLIN SODIUM + SULBACTAM SODIUM,(1000 + 500) mq,İnyeksiya məhlulu üçün toz,"Flakon + Ampulda həlledici 3,5 ml",10,"REYANQ FARMASYUTİKAL KO LTD, Çin",17.28,20.74,29.11.2016
1698,DELBAK,AMPICILLIN SODIUM + SULBACTAM SODIUM,(1000 + 500) mq,İnyeksiya məhlulu üçün toz,"Flakon + Ampulda həlledici 3,5 ml",50,"REYANQ FARMASYUTİKAL KO LTD, Çin",82.80,98.31,29.11.2016
1699,DELOPAM,FLUCONAZOLE,150 mq,Kapsul,Blister,3,"FARMATEN SA, Yunanıstan",8.48,10.18,29.11.2016
1700,DELTAZİM,CEFTAZIDIME,1000 mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"LABORATORİO FARMASYUTİKO CT SRL, İtaliya",9.41,11.29,29.11.2016
1701,DELUKİ T,DORZOLAMIDE + TIMOLOL,(20 + 5) mq/ml,Damcı,Flakon 5 ml,1,"BEMA FARMA GMBH, Almaniya",12.50,15.00,29.11.2016
1702,DELUKİ T,DORZOLAMIDE + TIMOLOL,(20 + 5) mq/ml,Damcı,Flakon 5 ml,1,"KUPER SA, Yunanıstan",10.54,12.65,29.11.2016
1703,DEMANTİN,MEMANTINE HCL,10 mq,Tablet,Blister,100,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",58.96,70.75,29.11.2016
1704,DEMANTİN,MEMANTINE HCL,10 mq/q,Məhlul,Flakon 50 q,1,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",50.96,61.15,29.11.2016
1705,DEMANTİN,MEMANTINE HCL,10 mq/q,Məhlul,Flakon 100 q,1,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",72.35,86.50,29.11.2016
1706,DEMİKON,FLUCONAZOLE,150 mq,Kapsul,Blister,2,"LABORATORİO FARMASYUTİKO CT SRL, İtaliya",6.75,8.10,29.11.2016
1707,DEMOTON B12,THIAMINE HCL + PYRIDOXINE HCL + CYANOCOBALAMIN,"(50 + 50 + 0,3) mq/ml",İnyeksiya üçün məhlul,Ampul 5 ml,5,"DEMO SA FARMASYUTİKAL İND, Yunanıstan",3.34,4.01,29.11.2016
1708,DEMOTON D,RETINOL PALMITATE (VITAMIN A) + THIAMINE HCL + RIBOFLAVIN + ASCORBIC ACID + NICOTINAMIDE + ...,"3500 IU + (3,5 + 4,14 +
125 + 46 + ...) mq",İnyeksiya məhlulu üçün toz,Flakon,1,"DEMO SA FARMASYUTİKAL İND, Yunanıstan",7.97,9.56,29.11.2016
1709,DEMOTON-B NEO,DEXPANTHENOL + NICOTINAMIDE + PYRIDOXINE + RIBOFLAVIN + THIAMINE,"(6 + 40 + 4 + 4 + 10)
mq/ml",İnyeksiya üçün məhlul,Ampul 2 ml,10,"DEMO SA FARMASYUTİKAL İND, Yunanıstan",10.78,12.94,29.11.2016
1710,DEMOTON-T,RETINOL PALMITATE (VITAMIN A) + THIAMINE HCL + RIBOFLAVIN + DEXPANTHENOL + NICOTINAMIDE + ...,"15000 IU + (75 + 10 +
30 + 125 + ...) mq",İnfuziya məhlulu üçün konsentrat,Ampul 10 ml,1,"DEMO SA FARMASYUTİKAL İND, Yunanıstan",6.60,7.92,29.11.2016
1711,DENK EYR 10,MONTELUKAST,10 mq,Tablet,Blister,28,"DENK FARMA GMBH VƏ KO KG, Almaniya",17.42,20.90,09.12.2017
1712,DENK EYR YUNİOR,MONTELUKAST,4 mq,Tablet,Blister,28,"DENK FARMA GMBH VƏ KO KG, Almaniya",15.81,18.97,09.12.2017
1713,DENK EYR YUNİOR,MONTELUKAST,5 mq,Tablet,Blister,28,"DENK FARMA GMBH VƏ KO KG, Almaniya",16.71,20.05,09.12.2017
1714,DE-NOL,BISMUTH TRIPOTASSIUM DICITRATE,120 mq,Tablet,Blister,56,"ASTELLAS FARMA YUROP BV, Niderland",10.83,13.00,29.11.2016
1715,DE-NOL,BISMUTH TRIPOTASSIUM DICITRATE,120 mq,Tablet,Blister,112,"ASTELLAS FARMA YUROP BV, Niderland",20.06,24.07,29.11.2016
1716,DENTASİT,CHAMOMILLA (ANTHODIUM) + QUERCUS CORTEX + CALENDULA + …,"(2 + 3 + 0,5 + …) q",Gel,Tub 15 q,1,"POZNAN BİTKİ MƏHSULLARI ŞİRKƏTİ HERBAPOL SC, Polşa",5.55,6.66,29.11.2016
1717,DENTİNOKS GEL N,LIDOCAINE + CHAMOMILLA + LAUROMACROGOL 600,"(3,4 + 150 + 3,2) mq/q",Gel,Tub 10 q,1,"DENTİNOKS GESELLŞAFT FUR FARMASEVTİÇE PRAPARATE LENK VƏ
ŞUPPAN KG, Almaniya",7.27,8.72,29.11.2016
1718,DENTOKİND,CHAMOMILLA + BELLADONNA + PULSATILLA + …,(15 + 15 + 15 + ...) mq,Tablet,Flakon,150,"DOYÇ HOMOPATİ-YUNİON DHU-ARZNEİMİTTEL GMBH VƏ KO KG,
Almaniya",9.00,10.80,29.11.2016
1719,DEPAKİN,VALPROATE SODIUM,"57,64 mq/ml",Şərbət,Flakon 150 ml,1,"UNİTER LİKVİD MANUFAKTURİNQ, Fransa",11.37,13.64,29.11.2016
1720,DEPAKİN XRONO,VALPROATE SODIUM / VALPROIC ACID,300 mq,Tablet,Blister,30,"SANOFİ VİNTROP İND, Fransa",11.16,13.39,29.11.2016
1721,DEPAKİN XRONO,VALPROATE SODIUM / VALPROIC ACID,300 mq,Tablet,Blister,100,"SANOFİ VİNTROP İND, Fransa",21.29,25.55,29.11.2016
1722,DEPAKİN XRONO,VALPROATE SODIUM / VALPROIC ACID,500 mq,Tablet,Blister,30,"SANOFİ VİNTROP İND, Fransa",8.58,10.30,29.11.2016
1723,DEPAKİN XRONO,VALPROATE SODIUM / VALPROIC ACID,500 mq,Tablet,Blister,100,"SANOFİ VİNTROP İND, Fransa",24.45,29.34,29.11.2016
1724,DEPAKİN XRONOSFERA,VALPROATE SODIUM,100 mq,Daxilə qəbul edilən qranul,Paket,30,"SANOFİ VİNTROP İND, Fransa",4.88,5.86,29.11.2016
1725,DEPAKİN XRONOSFERA,VALPROATE SODIUM,250 mq,Daxilə qəbul edilən qranul,Paket,30,"SANOFİ VİNTROP İND, Fransa",8.07,9.68,29.11.2016
1726,DEPAKİN XRONOSFERA,VALPROATE SODIUM,500 mq,Daxilə qəbul edilən qranul,Paket,30,"SANOFİ VİNTROP İND, Fransa",15.51,18.61,29.11.2016
1727,DEPANTOL,DEXPANTHENOL + CHLORHEXIDINE,"(52,5 + 8,02) mq/q",Krem,Tub 30 q,1,"NİJFARM ASC, Rusiya",5.88,7.06,29.11.2016
1728,DEPANTOL,DEXPANTHENOL + CHLORHEXIDINE,(100 + 16) mq/q,Şam,Blister,10,"NİJFARM ASC, Rusiya",11.35,13.62,29.11.2016
1729,DEPLORAM-S,ESCITALOPRAM OXALATE,10 mq,Tablet,Blister,28,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",9.35,11.22,29.11.2016
1730,DEPLORAM-S,ESCITALOPRAM OXALATE,20 mq,Tablet,Blister,28,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",21.35,25.62,29.11.2016
1731,DEPLORAM-S,ESCITALOPRAM OXALATE,10 mq/ml,Damcı,Flakon 15 ml,1,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",10.06,12.07,29.11.2016
1732,"DEPORES 0,05%",CICLOSPORIN,"0,5 mq/ml",Göz üçün emulsiya,"Flakon 0,4 ml",30,"DEVA HOLDİNQ AŞ, Türkiyə",76.20,90.85,29.11.2016
1733,DEPREBAN,FLUOXETINE,20 mq,Kapsul,Blister,10,"AMRİYA FARM İND, Misir",3.22,3.86,29.11.2016
1734,DEPREVİKS,VENLAFAXINE HCL,"37,5 mq",Kapsul,Blister,30,"FARMATEN SA / FARMATEN İNTERNATİONAL SA, Yunanıstan",7.40,8.88,29.11.2016
1735,DEPREVİKS,VENLAFAXINE HCL,75 mq,Kapsul,Blister,30,"FARMATEN SA / FARMATEN İNTERNATİONAL SA, Yunanıstan",7.19,8.63,29.11.2016
1736,DEPREVİKS,VENLAFAXINE HCL,150 mq,Kapsul,Blister,30,"FARMATEN SA / FARMATEN İNTERNATİONAL SA, Yunanıstan",13.26,15.91,29.11.2016
1737,DEPROLAM,CITALOPRAM,20 mq,Tablet,Blister,28,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",6.52,7.82,24.05.2017
1738,DEPROLAM,CITALOPRAM,40 mq,Tablet,Blister,28,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",14.19,17.03,24.05.2017
1739,DERİLAYF,CLOBETASOL PROPIONATE,"0,5 mq/q",Krem,Tub 50 q,1,"ZENTİVA SAĞLIK ÜRÜNLERİ SAN VE TİC AŞ, Türkiyə",7.23,8.68,09.12.2017
1740,DERMASOL,CLOBETASOL PROPIONATE,"0,5 mq/q",Krem,Tub 20 q,1,"SQUARE PHARMACEUTICALS LTD, Banqladeş",2.21,2.65,17.11.2018
1741,DERMASOL-N,NYSTATIN + NEOMYCIN SULFATE + CLOBETASOL,"10 MIU + (500 + 50)
mq",Krem,Tub 15 q,1,"SQUARE PHARMACEUTICALS LTD, Banqladeş",2.13,2.56,17.11.2018
1742,DERMATİSAN,BETAMETHASONE VALERATE + GENTAMICIN SULFATE + TOLNAFTATE + CLIOQUINOL,"(0,6 + 1 + 10 + 10)
mq/q",Krem,Tub 20 q,1,"EMS S/A, Braziliya",9.69,11.63,29.11.2016
1743,DERMAZİN,SULFADIAZINE,10 mq/q,Krem,Tub 50 q,1,"SALUTAS FARMA GMBH, Almaniya",4.93,5.92,29.11.2016
1744,DERMAZİN,SULFADIAZINE,10 mq/q,Krem,Tub 50 q,1,"LEK FARMASYUTİKALS DD, Sloveniya",4.00,4.80,29.11.2016
1745,DERMAZİN,SULFADIAZINE,10 mq/q,Krem,Tub 250 q,1,"SALUTAS FARMA GMBH, Almaniya",24.17,29.00,29.11.2016
1746,DERMOVEYT,CLOBETASOL PROPIONATE,"0,5 mq/q",Məlhəm,Tub 25 q,1,"QLAKSOSMİTKLAYN FARMASYUTİKALS SC, Polşa",4.46,5.35,29.11.2016
1747,DERMOVEYT,CLOBETASOL PROPIONATE,"0,5 mq/q",Krem,Tub 25 q,1,"QLAKSOSMİTKLAYN FARMASYUTİKALS SC, Polşa",5.07,6.08,29.11.2016
1748,DESFERAL,DEFEROXAMINE MESYLATE,500 mq,İnyeksiya məhlulu üçün toz,Flakon,10,"VASERBURGER ARZNEİMİTTEL GMBH, Almaniya",69.78,83.60,29.11.2016
1749,DESFERAL,DEFEROXAMINE MESYLATE,500 mq,İnyeksiya məhlulu üçün toz,Flakon,10,"NOVARTİS FARMA ŞTEYN AG, İsveçrə",69.78,83.60,29.11.2016
1750,DE-SİLON,CEFTRIAXONE,1000 mq,İnyeksiya məhlulu üçün toz,Flakon,1,"ATB PHARMA SRO, Slovakiya",4.54,5.45,29.11.2016
1751,DESLODİN,DESLORATADINE,"0,5 mq/ml",Şərbət,Flakon 150 ml,1,"BİOFARMA İLAÇ SAN VE TİC AŞ, Türkiyə",6.02,7.22,31.07.2018
1752,DESLOR,DESLORATADINE,5 mq,Tablet,Blister,10,"FARMASAYNS İNK, Kanada",1.62,1.94,29.11.2016
1753,DESLORA-DENK 5,DESLORATADINE,5 mq,Tablet,Blister,10,"DENK FARMA GMBH VƏ KO KG, Almaniya",3.20,3.84,29.11.2016
1754,DESLORADİN,DESLORATADINE,"0,5 mq/ml",Şərbət,Flakon 150 ml,1,"BİOFARMA İLAÇ SAN VE TİC AŞ, Türkiyə",6.30,7.56,29.11.2016
1755,DESTADİN,DESLORATADINE,"0,5 mq/ml",Şərbət,Flakon 60 ml,1,"EMS S/A, Braziliya",3.00,3.60,29.11.2016
1756,DETRALEKS,DIOSMIN + HESPERIDIN,(450 + 50) mq,Tablet,Blister,30,"LE LABORATUAR SERVYE İND, Fransa",10.23,12.28,29.11.2016
1757,DETRALEKS,DIOSMIN + HESPERIDIN,(450 + 50) mq,Tablet,Blister,36,"LE LABORATUAR SERVYE İND, Fransa",12.28,14.74,29.11.2016
1758,DETRALEKS,DIOSMIN + HESPERIDIN,(450 + 50) mq,Tablet,Blister,60,"LE LABORATUAR SERVYE İND, Fransa",14.65,17.58,29.11.2016
1759,DETRALEKS,DIOSMIN + HESPERIDIN,(900 + 100) mq,Tablet,Blister,30,"LE LABORATUAR SERVYE İND, Fransa",20.47,24.56,18.05.2018
1760,DETRALEKS,DIOSMIN + HESPERIDIN,(900 + 100) mq,Tablet,Blister,60,"LE LABORATUAR SERVYE İND, Fransa",29.30,35.16,18.05.2018
1761,DETRAZOL,FLUCONAZOLE,50 mq,Kapsul,Blister,7,"KLEVA SA / ANFARM HELLAS SA, Yunanıstan",6.07,7.28,29.11.2016
1762,DETRAZOL,FLUCONAZOLE,150 mq,Kapsul,Blister,1,"KLEVA SA / ANFARM HELLAS SA, Yunanıstan",4.39,5.27,29.11.2016
1763,DETRAZOL,FLUCONAZOLE,2 mq/ml,İnfuziya üçün məhlul,Flakon 50 ml,1,"KLEVA SA / ANFARM HELLAS SA, Yunanıstan",11.84,14.21,29.11.2016
1764,DETRUZİTOL,TOLTERODINE,2 mq,Tablet,Blister,56,"FAYZER İTALİYA SRL, İtaliya",35.43,42.52,29.11.2016
1765,DEZAL,DESLORATADINE,5 mq,Tablet,Blister,10,"AKTAVİS LTD, Malta",2.68,3.22,29.11.2016
1766,DEZAL,DESLORATADINE,5 mq,Tablet,Blister,20,"AKTAVİS LTD, Malta",4.56,5.47,29.11.2016
1767,DEZAMİNOOKSİTOSİN,DEMOXYTOCIN,50 IU,Tablet,Blister,10,"QRİNDEKS SC, Latviya",5.50,6.60,29.11.2016
1768,DİABETLONQ,GLICLAZIDE,30 mq,Tablet,Blister,30,"SİNTEZ DƏRMAN VƏ TİBB VASİTƏLƏRİNİN KURQAN ASC, Rusiya",2.55,3.06,29.11.2016
1769,DİABETLONQ,GLICLAZIDE,30 mq,Tablet,Blister,60,"SİNTEZ DƏRMAN VƏ TİBB VASİTƏLƏRİNİN KURQAN ASC, Rusiya",4.59,5.51,29.11.2016
1770,DİABETON MR,GLICLAZIDE,60 mq,Tablet,Blister,30,"LE LABORATUAR SERVYE İND, Fransa",10.28,12.34,29.11.2016
1771,DİABETON MR,GLICLAZIDE,60 mq,Tablet,Blister,30,"SERVYE İNDASTRİES LTD, İrlandiya",10.28,12.34,29.11.2016
1772,DİABETON MR,GLICLAZIDE,60 mq,Tablet,Blister,60,"LE LABORATUAR SERVYE İND, Fransa",19.57,23.48,29.11.2016
1773,DİABETON MR,GLICLAZIDE,60 mq,Tablet,Blister,60,"SERVYE İNDASTRİES LTD, İrlandiya",19.57,23.48,29.11.2016
1774,DİABZİD M,METFORMIN HCL + GLICLAZIDE,(500 + 80) mq,Tablet,Blister,30,"RATNAMANİ HELSKEA PVT LTD, Hindistan",7.55,9.06,24.05.2017
1775,DİAFLEKS,DIACEREIN,50 mq,Kapsul,Blister,30,"ROMFARM KOMPANİ SRL, Rumıniya",17.28,20.74,29.11.2016
